"Country or Area","Year(s)","Variant","Value"
"China","2091","Upper 95 PI","1084978.611"
"China","2091","Lower 95 PI","619194.493"
"China","2090","Medium","863319.535"
"China","2090","High","1184371.032"
"China","2090","Low","617102.322"
"China","2090","Constant fertility","747303.154"
"China","2090","Instant replacement","1415881.943"
"China","2090","Zero migration","890923.368"
"China","2090","Constant mortality","723108.98"
"China","2090","No change","609801.664"
"China","2090","Momentum","1291302.239"
"China","2090","Instant replacement zero migration","1450088.019"
"China","2090","Median PI","863319.536"
"China","2090","Upper 80 PI","1008679.45"
"China","2090","Lower 80 PI","708440.8"
"China","2090","Upper 95 PI","1091405.375"
"China","2090","Lower 95 PI","631737.039"
"China","2089","Medium","873694.71"
"China","2089","High","1188418.567"
"China","2089","Low","630812.742"
"China","2089","Constant fertility","759788.941"
"China","2089","Instant replacement","1415740.272"
"China","2089","Zero migration","900918.03"
"China","2089","Constant mortality","733887.331"
"China","2089","No change","622537.347"
"China","2089","Momentum","1292181.8"
"China","2089","Instant replacement zero migration","1449366.629"
"China","2089","Median PI","873694.71"
"China","2089","Upper 80 PI","1017692.771"
"China","2089","Lower 80 PI","720808.558"
"China","2089","Upper 95 PI","1098721.083"
"China","2089","Lower 95 PI","643886.134"
"China","2088","Medium","884243.881"
"China","2088","High","1192658.512"
"China","2088","Low","644726.262"
"China","2088","Constant fertility","772487.593"
"China","2088","Instant replacement","1415840.209"
"China","2088","Zero migration","911082.944"
"China","2088","Constant mortality","744761.934"
"China","2088","No change","635417.47"
"China","2088","Momentum","1293148.433"
"China","2088","Instant replacement zero migration","1448887.697"
"China","2088","Median PI","884243.881"
"China","2088","Upper 80 PI","1026466.107"
"China","2088","Lower 80 PI","734050.02"
"China","2088","Upper 95 PI","1106961.997"
"China","2088","Lower 95 PI","656328.676"
"China","2087","Medium","894960.252"
"China","2087","High","1197082.407"
"China","2087","Low","658840.769"
"China","2087","Constant fertility","785396.914"
"China","2087","Instant replacement","1416190.792"
"China","2087","Zero migration","921411.216"
"China","2087","Constant mortality","755740.592"
"China","2087","No change","648453.532"
"China","2087","Momentum","1294228.583"
"China","2087","Instant replacement zero migration","1448660.012"
"China","2087","Median PI","894960.252"
"China","2087","Upper 80 PI","1035180.412"
"China","2087","Lower 80 PI","746990.579"
"China","2087","Upper 95 PI","1114594.433"
"China","2087","Lower 95 PI","669672.653"
"China","2086","Medium","905821.025"
"China","2086","High","1201660.833"
"China","2086","Low","673142.452"
"China","2086","Constant fertility","798506.588"
"China","2086","Instant replacement","1416793.41"
"China","2086","Zero migration","931879.643"
"China","2086","Constant mortality","766825.072"
"China","2086","No change","661658.801"
"China","2086","Momentum","1295450.646"
"China","2086","Instant replacement zero migration","1448684.765"
"China","2086","Median PI","905821.025"
"China","2086","Upper 80 PI","1044460.536"
"China","2086","Lower 80 PI","759641.29"
"China","2086","Upper 95 PI","1122262.78"
"China","2086","Lower 95 PI","683387.085"
"China","2085","Medium","916808.802"
"China","2085","High","1206375.95"
"China","2085","Low","687618.645"
"China","2085","Constant fertility","811801.269"
"China","2085","Instant replacement","1417641.079"
"China","2085","Zero migration","942470.855"
"China","2085","Constant mortality","778028.516"
"China","2085","No change","675047.71"
"China","2085","Momentum","1296841.381"
"China","2085","Instant replacement zero migration","1448954.746"
"China","2085","Median PI","916808.802"
"China","2085","Upper 80 PI","1052933.366"
"China","2085","Lower 80 PI","772536.496"
"China","2085","Upper 95 PI","1130585.79"
"China","2085","Lower 95 PI","696897.373"
"China","2084","Medium","927912.386"
"China","2084","High","1211224.766"
"China","2084","Low","702256.688"
"China","2084","Constant fertility","825257.583"
"China","2084","Instant replacement","1418719.451"
"China","2084","Zero migration","953174.221"
"China","2084","Constant mortality","789376.153"
"China","2084","No change","688632.859"
"China","2084","Momentum","1298427.31"
"China","2084","Instant replacement zero migration","1449455.402"
"China","2084","Median PI","927912.386"
"China","2084","Upper 80 PI","1060374.166"
"China","2084","Lower 80 PI","785318.901"
"China","2084","Upper 95 PI","1138593.413"
"China","2084","Lower 95 PI","710463.732"
"China","2083","Medium","939100.122"
"China","2083","High","1216177.883"
"China","2083","Low","717027.975"
